"total","car","public_trans","bus","subway","railroad","ferry","bike","walk","taxi","work_at_home"
1193,717,118,118,0,0,0,222,81,6,49
1995,1647,55,55,0,0,0,147,22,6,118
1470,831,95,84,0,11,0,327,102,0,115
2736,2494,21,21,0,0,0,58,47,17,99
2122,1607,150,150,0,0,0,127,151,0,87
2241,1615,191,191,0,0,0,242,160,0,33
1695,1344,86,86,0,0,0,72,8,0,185
2043,1776,14,14,0,0,0,38,37,0,178
1637,900,47,47,0,0,0,272,315,15,88
1701,1002,91,91,0,0,0,300,145,25,138
1356,970,72,72,0,0,0,183,73,0,58
1829,1055,100,100,0,0,0,408,187,0,79
2028,837,198,183,0,0,0,418,456,0,119
2044,1197,22,22,0,0,0,179,379,0,267
2531,1934,77,77,0,0,0,365,17,13,125
1839,1120,180,180,0,0,0,248,126,0,165
869,645,35,35,0,0,0,73,25,8,83
1146,946,28,28,0,0,0,40,33,45,54
2353,1794,100,100,0,0,0,90,26,44,299
1701,1596,9,9,0,0,0,12,30,22,32
686,546,27,27,0,0,0,0,58,5,50
1228,1057,0,0,0,0,0,0,52,6,113
1966,1519,32,32,0,0,0,15,196,24,180
1063,911,11,11,0,0,0,0,100,0,41
1191,1069,0,0,0,0,0,14,99,0,9
1530,1470,0,0,0,0,0,4,15,0,41
1514,1337,0,0,0,0,0,0,25,34,118
898,684,37,37,0,0,0,5,140,9,23
671,564,69,69,0,0,0,0,20,0,18
747,642,0,0,0,0,0,0,20,0,85
1041,1016,0,0,0,0,0,0,2,16,7
1242,1166,0,0,0,0,0,0,10,38,28
574,502,0,0,0,0,0,0,0,0,72
1302,1176,43,43,0,0,0,0,41,12,30
827,582,27,17,5,0,0,0,157,9,52
1348,1222,24,24,0,0,0,0,38,13,51
4111,3630,0,0,0,0,0,29,0,57,395
859,788,0,0,0,0,0,12,2,9,48
3521,3037,0,0,0,0,0,84,134,76,190
1559,1229,0,0,0,0,0,19,141,81,89
1461,1249,20,13,0,7,0,34,116,0,42
