"state","fips","county","csa","population","households"
"or","041951300","Lincoln","None",2517,1029
"or","041951400","Lincoln","None",2765,1045
"or","041951500","Lincoln","None",1974,982
"or","041951600","Lincoln","None",3343,1650
"or","041951700","Lincoln","None",2220,1038
"or","041951800","Lincoln","None",3762,1480
"or","043020100","Linn","None",8988,3446
"or","043020200","Linn","None",1834,786
"or","043020300","Linn","None",6833,2638
"or","043020400","Linn","None",4305,1654
"or","043020500","Linn","None",4032,1716
"or","043020600","Linn","None",8851,3436
"or","043020700","Linn","None",5769,2022
"or","043020801","Linn","None",2783,937
"or","043020802","Linn","None",6283,2260
"or","043030100","Linn","None",5498,2204
"or","043030200","Linn","None",6632,2462
"or","043030300","Linn","None",2296,905
"or","043030401","Linn","None",6404,2553
"or","043030402","Linn","None",6962,2757
"or","043030500","Linn","None",4232,1527
"or","043030600","Linn","None",7035,2284
"or","043030700","Linn","None",3614,1540
"or","043030800","Linn","None",7678,2903
"or","043030902","Linn","None",7583,2643
"or","043030903","Linn","None",6238,2515
"or","043030904","Linn","None",3798,1534
"or","045970200","Malheur","None",5304,1770
"or","045970300","Malheur","None",4380,1638
"or","045970400","Malheur","None",4802,1708
"or","045970500","Malheur","None",5398,1749
"or","045970600","Malheur","None",4302,1520
"or","045970700","Malheur","None",1672,620
"or","045970900","Malheur","None",5040,1131
"or","047000200","Marion","None",3366,1153
"or","047000300","Marion","None",4984,1887
"or","047000400","Marion","None",4907,1811
"or","047000501","Marion","None",3423,1154
"or","047000502","Marion","None",5299,1709
"or","047000600","Marion","None",5104,2093
"or","047000701","Marion","None",8416,2036
"or","047000900","Marion","None",6158,2287
"or","047001000","Marion","None",4083,1566
"or","047001100","Marion","None",4416,1890
"or","047001200","Marion","None",3347,1698
"or","047001300","Marion","None",3918,1984
"or","047001401","Marion","None",6168,2432
"or","047001402","Marion","None",5749,2143
"or","047001501","Marion","None",4199,1664
"or","047001502","Marion","None",5389,1751
"or","047001503","Marion","None",5070,1801
"or","047001601","Marion","None",7290,2601
"or","047001602","Marion","None",8612,2986
"or","047001603","Marion","None",6730,2195
"or","047001604","Marion","None",7821,2876
"or","047001701","Marion","None",6673,2396
"or","047001702","Marion","None",5885,1799
"or","047001703","Marion","None",4752,1553
"or","047001801","Marion","None",7081,2383
"or","047001802","Marion","None",8565,2465
"or","047001803","Marion","None",4765,1160
"or","047002000","Marion","None",9439,3682
"or","047002101","Marion","None",2210,1106
"or","047002102","Marion","None",6093,2527
"or","047002201","Marion","None",2459,848
"or","047002202","Marion","None",6807,2379
"or","047002301","Marion","None",2957,1123
"or","047002303","Marion","None",7366,2862
"or","047002304","Marion","None",5392,2255
"or","047002400","Marion","None",3479,1484
"or","047002501","Marion","None",8787,3298
"or","047002502","Marion","None",5112,1814
"or","047002600","Marion","None",2043,652
"or","047002700","Marion","None",8627,3189
"or","047002800","Marion","None",3960,1486
"or","047010100","Marion","None",1522,495
"or","047010201","Marion","None",2558,1009
"or","047010202","Marion","None",7287,2428
"or","047010303","Marion","None",5135,1370
"or","047010304","Marion","None",6582,1579
"or","047010305","Marion","None",4464,1135
"or","047010306","Marion","None",9004,2856
"or","047010307","Marion","None",4995,2303
"or","047010400","Marion","None",5198,1669
"or","047010501","Marion","None",5419,1931
"or","047010502","Marion","None",6593,2339
"or","047010503","Marion","None",3495,1357
"or","047010600","Marion","None",2263,938
"or","047010701","Marion","None",8112,3031
"or","047010702","Marion","None",6772,2471
"or","047010801","Marion","None",5862,2084
"or","047010802","Marion","None",6279,2112
"or","049970100","Morrow","None",7982,2439
"or","049970200","Morrow","None",3236,1302
"or","051000100","Multnomah","Portland",6104,2779
"or","051000200","Multnomah","Portland",5932,2942
"or","051000301","Multnomah","Portland",5420,2074
"or","051000302","Multnomah","Portland",6784,2606
"or","051000401","Multnomah","Portland",3529,1514
"or","051000402","Multnomah","Portland",3366,1480
"or","051000501","Multnomah","Portland",3684,1455
"or","051000502","Multnomah","Portland",4689,1893
"or","051000601","Multnomah","Portland",5417,1926
"or","051000602","Multnomah","Portland",5605,1888
"or","051000701","Multnomah","Portland",4472,1881
"or","051000702","Multnomah","Portland",4729,1974
"or","051000801","Multnomah","Portland",4357,1940
"or","051000802","Multnomah","Portland",4563,2149
"or","051000901","Multnomah","Portland",3724,1711
"or","051000902","Multnomah","Portland",4422,1930
"or","051001000","Multnomah","Portland",5338,2615
"or","051001101","Multnomah","Portland",1880,1254
"or","051001102","Multnomah","Portland",1528,683
"or","051001201","Multnomah","Portland",5183,2660
"or","051001202","Multnomah","Portland",3332,1536
"or","051001301","Multnomah","Portland",3813,1802
"or","051001302","Multnomah","Portland",3022,1261
"or","051001400","Multnomah","Portland",4736,2237
"or","051001500","Multnomah","Portland",3040,1324
"or","051001601","Multnomah","Portland",5708,2489
"or","051001602","Multnomah","Portland",4468,1682
"or","051001701","Multnomah","Portland",6337,2797
"or","051001702","Multnomah","Portland",4148,1408
"or","051001801","Multnomah","Portland",4486,2098
"or","051001802","Multnomah","Portland",3434,1620
"or","051001900","Multnomah","Portland",4919,1948
"or","051002000","Multnomah","Portland",6009,3121
"or","051002100","Multnomah","Portland",2080,1247
"or","051002203","Multnomah","Portland",3069,1463
"or","051002303","Multnomah","Portland",1927,1173
"or","051002401","Multnomah","Portland",2812,1099
"or","051002402","Multnomah","Portland",3547,2009
"or","051002501","Multnomah","Portland",4582,1728
"or","051002502","Multnomah","Portland",3954,2005
"or","051002600","Multnomah","Portland",2786,1088
"or","051002701","Multnomah","Portland",3361,1218
"or","051002702","Multnomah","Portland",2916,1491
"or","051002801","Multnomah","Portland",2957,1241
"or","051002802","Multnomah","Portland",2758,1264
"or","051002901","Multnomah","Portland",4180,1950
"or","051002902","Multnomah","Portland",5427,2376
"or","051002903","Multnomah","Portland",5326,2116
"or","051003000","Multnomah","Portland",4397,1914
"or","051003100","Multnomah","Portland",4598,1899
"or","051003200","Multnomah","Portland",4190,1659
"or","051003301","Multnomah","Portland",3045,1173
"or","051003302","Multnomah","Portland",2998,1236
"or","051003401","Multnomah","Portland",3349,1332
"or","051003402","Multnomah","Portland",3472,1450
"or","051003501","Multnomah","Portland",3596,1519
"or","051003502","Multnomah","Portland",2163,834
"or","051003601","Multnomah","Portland",4421,1822
"or","051003602","Multnomah","Portland",6546,2278
"or","051003603","Multnomah","Portland",1591,689
"or","051003701","Multnomah","Portland",4000,1693
"or","051003702","Multnomah","Portland",2844,988
"or","051003801","Multnomah","Portland",2873,1254
"or","051003802","Multnomah","Portland",2986,1326
"or","051003803","Multnomah","Portland",3970,1667
"or","051003901","Multnomah","Portland",7309,2810
"or","051003902","Multnomah","Portland",2973,1225
"or","051004001","Multnomah","Portland",8437,2776
"or","051004002","Multnomah","Portland",5772,1543
"or","051004101","Multnomah","Portland",7157,2546
"or","051004102","Multnomah","Portland",5384,2190
"or","051004200","Multnomah","Portland",3191,1508
"or","051004300","Multnomah","Portland",962,424
"or","051004500","Multnomah","Portland",2300,1109
"or","051004601","Multnomah","Portland",3224,1579
"or","051004602","Multnomah","Portland",2014,810
"or","051004700","Multnomah","Portland",4527,2402
"or","051004800","Multnomah","Portland",2956,2089
"or","051004900","Multnomah","Portland",3375,2436
"or","051005000","Multnomah","Portland",2433,1576
"or","051005100","Multnomah","Portland",7352,5076
"or","051005200","Multnomah","Portland",4311,3081
"or","051005500","Multnomah","Portland",2498,1625
"or","051005600","Multnomah","Portland",4235,2283
"or","051005700","Multnomah","Portland",3758,2248
"or","051005800","Multnomah","Portland",5406,2528
"or","051005900","Multnomah","Portland",6526,3637
"or","051006001","Multnomah","Portland",1490,677
"or","051006002","Multnomah","Portland",2178,973
"or","051006100","Multnomah","Portland",2418,997
"or","051006200","Multnomah","Portland",3055,1304
"or","051006300","Multnomah","Portland",5006,1570
"or","051006402","Multnomah","Portland",5684,2192
"or","051006403","Multnomah","Portland",3749,1553
"or","051006404","Multnomah","Portland",3310,1760
"or","051006501","Multnomah","Portland",6114,2440
"or","051006502","Multnomah","Portland",4284,2071
"or","051006601","Multnomah","Portland",2676,1072
"or","051006602","Multnomah","Portland",5099,2316
"or","051006701","Multnomah","Portland",3332,1341
"or","051006702","Multnomah","Portland",3326,1425
"or","051006801","Multnomah","Portland",2327,1011
"or","051006802","Multnomah","Portland",3492,1423
"or","051006900","Multnomah","Portland",2723,1052
"or","051007000","Multnomah","Portland",8104,3104
"or","051007100","Multnomah","Portland",2650,1157
"or","051007201","Multnomah","Portland",2077,1251
"or","051007202","Multnomah","Portland",2869,1199
"or","051007300","Multnomah","Portland",1716,186
"or","051007400","Multnomah","Portland",3675,1347
"or","051007500","Multnomah","Portland",5701,1903
"or","051007600","Multnomah","Portland",3552,1337
"or","051007700","Multnomah","Portland",1879,748
"or","051007800","Multnomah","Portland",1962,754
"or","051007900","Multnomah","Portland",4095,1764
"or","051008001","Multnomah","Portland",3624,1394
"or","051008002","Multnomah","Portland",3091,1116
"or","051008100","Multnomah","Portland",7221,2865
"or","051008201","Multnomah","Portland",2813,1272
"or","051008202","Multnomah","Portland",9538,3227
"or","051008301","Multnomah","Portland",4348,1574
"or","051008302","Multnomah","Portland",4276,1542
"or","051008400","Multnomah","Portland",4622,1623
"or","051008500","Multnomah","Portland",3886,1380
"or","051008600","Multnomah","Portland",4480,1557
"or","051008700","Multnomah","Portland",4490,1709
"or","051008800","Multnomah","Portland",4255,1587
"or","051008901","Multnomah","Portland",9887,3018
"or","051008902","Multnomah","Portland",3659,1414
"or","051009000","Multnomah","Portland",8815,2979
"or","051009101","Multnomah","Portland",5774,1979
"or","051009102","Multnomah","Portland",6331,2163
"or","051009201","Multnomah","Portland",7687,2744
"or","051009202","Multnomah","Portland",5497,1656
"or","051009301","Multnomah","Portland",6090,2128
"or","051009302","Multnomah","Portland",4248,1647
"or","051009400","Multnomah","Portland",7122,2779
"or","051009501","Multnomah","Portland",4735,1861
"or","051009502","Multnomah","Portland",4332,1638
"or","051009603","Multnomah","Portland",3573,1181
"or","051009604","Multnomah","Portland",5194,1840
"or","051009605","Multnomah","Portland",5903,2199
"or","051009606","Multnomah","Portland",5567,1775
"or","051009701","Multnomah","Portland",5307,1955
"or","051009702","Multnomah","Portland",8193,2634
"or","051009801","Multnomah","Portland",4179,1464
"or","051009803","Multnomah","Portland",7456,2700
"or","051009804","Multnomah","Portland",3252,1103
"or","051009903","Multnomah","Portland",6065,1965
"or","051009904","Multnomah","Portland",3131,1270
"or","051009905","Multnomah","Portland",3208,1063
"or","051009906","Multnomah","Portland",3427,1204
"or","051009907","Multnomah","Portland",5073,1818
"or","051010001","Multnomah","Portland",5629,2470
"or","051010002","Multnomah","Portland",5030,1851
"or","051010100","Multnomah","Portland",8876,3569
"or","051010200","Multnomah","Portland",5638,2388
"or","051010303","Multnomah","Portland",5699,2068
"or","051010304","Multnomah","Portland",4837,1539
"or","051010305","Multnomah","Portland",3975,1461
"or","051010306","Multnomah","Portland",4801,1667
"or","051010402","Multnomah","Portland",6022,2087
"or","051010405","Multnomah","Portland",6021,2185
"or","051010407","Multnomah","Portland",5798,1870
"or","051010408","Multnomah","Portland",5825,2063
"or","051010409","Multnomah","Portland",8140,2751
"or","051010410","Multnomah","Portland",4846,1880
"or","051010411","Multnomah","Portland",2935,1301
"or","051010500","Multnomah","Portland",4543,1515
"or","051010600","Multnomah","Portland",3133,1945
"or","051980000","Multnomah","Portland",2,0
"or","053005100","Polk","None",2058,893
"or","053005201","Polk","None",8651,3073
"or","053005202","Polk","None",9738,3736
"or","053005300","Polk","None",8857,3526
"or","053020202","Polk","None",5503,2377
"or","053020203","Polk","None",2986,1049
"or","053020204","Polk","None",4990,1691
"or","053020302","Polk","None",9541,3160
"or","053020303","Polk","None",4406,1453
"or","053020304","Polk","None",6734,2582
"or","053020400","Polk","None",5760,2288
"or","053020500","Polk","None",6706,2411
