FJM[ NTN[
JMNJ/ -0.113 0.525
TWR/ -0.111 0.598
MZRQ/ -0.11 0.541
MJM/ -0.109 0.39
MWRCH/ -0.108 -0.161
LBNWN/ -0.108 -0.214
CRWN/ -0.108 -0.214
KRML==/ -0.108 -0.214
RBH/ -0.107 0.332
NWH/ -0.107 0.332
KJ -0.107 -0.034
YDQJHW/ -0.106 -0.226
J<QB/ -0.104 -0.234
RB=/ -0.104 -0.001
M<FH/ -0.104 0.433
MLKH/ -0.104 -0.139
TWDH/ -0.102 0.003
>LMNH/ -0.101 -0.033
GR/ -0.101 -0.033
JTWM/ -0.101 -0.033
JRB<M/ -0.1 0.071
NZM/ -0.1 -0.136
MVR/ -0.099 0.096
MZBX/ -0.099 0.047
>C/ -0.097 0.034
>CR -0.097 0.321
>BRM/ -0.097 -0.416
GM -0.097 0.235
pual -0.096 -0.362
TKN[ -0.096 -0.362
>XD/ -0.095 -0.013
TMRWQ/ -0.093 0.751
CBJ/ -0.093 -0.01
<MD[ -0.093 -0.645
MHLK/ -0.093 -0.645
YPRH/ -0.092 0.114
>RY/ -0.091 0.218
<Z=/ -0.09 0.137
MWT[ -0.09 -0.21
LMH -0.089 -0.06
<ML=/ -0.089 -0.06
m -0.089 -0.086
MYX/ -0.088 0.332
YR==/ -0.088 0.332
MGN/ -0.088 -0.155
MRBJT/ -0.086 0.071
PN -0.086 0.494
<TH -0.086 0.031
<YM/ -0.086 0.45
QVN/ -0.084 0.423
PR/ -0.083 0.391
CLL/ -0.083 0.308
MCH=/ -0.082 -0.29
BLWJ/ -0.082 -0.119
SXBWT/ -0.082 -0.119
MLX==/ -0.082 -0.119
>YJL==/ -0.082 -0.119
NBJ>/ -0.081 0.144
JR>/ -0.081 0.961
VWB=/ -0.081 -0.38
NG</ -0.08 -0.013
YR<T/ -0.08 -0.013
MXTH/ -0.08 -0.028
J<JM/ -0.08 -0.028
MZLG/ -0.08 -0.028
NCK/ -0.08 0.171
P<LH/ -0.079 -0.269
CBT/ -0.078 -0.034
CRQH=/ -0.078 0.103
MC>LH/ -0.078 0.206
<WLM/ -0.078 0.183
p3 -0.076 -0.074
JRX</ -0.076 -0.179
CCN/ -0.076 -0.179
CMN/ -0.075 0.04
HW> -0.075 -0.019
p1 -0.074 0.078
MKWNH/ -0.073 0.249
BFR/ -0.073 0.137
YQLG/ -0.073 -0.104
>KJC/ -0.073 -0.104
CN/ -0.073 -0.199
NQJWN/ -0.073 -0.199
PRZJ/ -0.073 0.329
PLJV=/ -0.07 0.838
KKR/ -0.069 -0.398
MKPLH/ -0.067 -0.423
GWRL/ -0.066 -0.02
>GRT/ -0.065 0.174
XDC/ -0.065 -0.039
MKS/ -0.064 -0.53
RBW>/ -0.063 0.508
KRM/ -0.061 0.06
KL/ -0.061 -0.317
XRB===/ -0.06 0.6
PLX/ -0.06 0.097
DBLH/ -0.06 0.097
YMWQJM/ -0.06 0.097
CNJM/ -0.059 -0.194
JCR/ -0.059 0.017
QCT/ -0.058 0.184
<NN/ -0.058 0.184
DBR=/ -0.058 0.414
<NJ/ -0.057 0.637
RBQH/ -0.056 0.03
YPH[ -0.056 -0.59
