ZBWLNJ/	Zebulunite
! ZD/	insolent
ZHJR/	cautious
ZJDWN/	running
ZJPJ/	Ziphite
ZK/	pure
ZKR=/	male
ZKWR=/	remembering
ZQN/	old
ZR/	strange
ZRXJ/	Zerahite
