lexid	lexeme	vocalized	p_o_s	gloss	freq
wj	YLX[	צָלַח	verb	be strong	69
wi	XN/	חֵן	subs	grace	69
wc	<MQ/	עֵמֶק	subs	valley	69
wf	NBV[	נָבַט	verb	look at	69
wb	<D=/	עֵד	subs	witness	69
we	MCX[	מָשַׁח	verb	smear	69
wd	KKR/	כִּכָּר	subs	disk	69
wh	XLQ/	חֵלֶק	subs	share	69
wg	QDJM/	קָדִים	subs	east	69
wk	CQH[	שָׁקָה	verb	give drink	68
wo	QBR/	קֶבֶר	subs	grave	67
wq	RJB[	רִיב	verb	contend	67
wp	QY/	קֵץ	subs	end	67
wl	>BJMLK/	אֲבִימֶלֶךְ	nmpr	Abimelech	67
wm	KTP/	כָּתֵף	subs	shoulder	67
wn	PRF[	פָּרַשׂ	verb	spread out	67
wr	TQ<[	תָּקַע	verb	blow	67
ws	>XZH/	אֲחֻזָּה	subs	land property	66
wu	NYX[	נָצַח	verb	prevail	66
wt	C>RJT/	שְׁאֵרִית	subs	rest	66
xc	TPF[	תָּפַשׂ	verb	seize	65
wy	C>WL/	שְׁאֹול	subs	nether world	65
ww	>XZ[	אָחַז	verb	seize	65
xe	XLWM/	חֲלֹום	subs	dream	65
xd	VWBH/	טֹובָה	subs	what is good	65
xa	PWY[	פּוּץ	verb	disperse	65
xb	RP>[	רָפָא	verb	heal	65
wv	>CH=/	אִשֶּׁה	subs	fire offering	65
wz	CKM[	שָׁכַם	verb	rise early	65
wx	BRX[	בָּרַח	verb	run away	65
xf	MDJNH/	מְדִינָה	subs	district	64
xi	>RR[	אָרַר	verb	curse	63
xh	>LJHW/	אֵלִיָּהוּ	nmpr	Elijah	63
xn	TMM[	תָּמַם	verb	be complete	63
xj	CPXH/	שִׁפְחָה	subs	maidservant	63
xl	N<RH/	נַעֲרָה	subs	girl	63
xk	GBWRH/	גְּבוּרָה	subs	strength	63
xg	>BNR/	אַבְנֵר	nmpr	Abner	63
xm	QR<[	קָרַע	verb	tear	63
xu	NYR[	נָצַר	verb	watch	62
xx	XBRWN=/	חֶבְרֹון	nmpr	Hebron	62
xq	JHB[	יָהַב	verb	give	62
xy	XG/	חַג	subs	festival	62
xs	ML>KT/	מְלֶאכֶת	subs	work	62
xv	QNH/	קָנֶה	subs	reed	62
xo	DRK[	דָּרַךְ	verb	tread	62
xt	MLH/	מִלָּה	subs	word	62
xw	RBJ<J/	רְבִיעִי	adjv	fourth	62
xr	KCL[	כָּשַׁל	verb	stumble	62
xp	FKL[	שָׂכַל	verb	prosper	62
yc	>JK	אֵיךְ	inrg	how	61
yd	>XRJT/	אַחֲרִית	subs	end	61
yb	>BRM/	אַבְרָם	nmpr	Abram	61
yg	NSK/	נֵסֶךְ	subs	libation	61
ya	>BJWN/	אֶבְיֹון	adjv	poor	61
xz	<RBH/	עֲרָבָה	subs	desert	61
ye	>YL/	אֵצֶל	subs	side	61
yf	DWD/	דֹּוד	subs	beloved one	61
yn	NDR/	נֶדֶר	subs	vow	60
yq	XMS/	חָמָס	subs	violence	60
yh	>LWP/	אַלּוּף	subs	chief	60
yp	SL</	סֶלַע	subs	rock	60
yl	BL<M/	בִּלְעָם	nmpr	<prophet>	60
yj	>RX/	אֹרַח	subs	path	60
yo	QVRT/	קְטֹרֶת	subs	smoke of sacrifice	60
ym	MRDKJ/	מָרְדֳּכַי	nmpr	Mordecai	60
yi	>MH/	אָמָה	subs	handmaid	60
yk	BCN/	בָּשָׁן	nmpr	Bashan	60
yx	SPR=/	סֹפֵר	subs	scribe	59
yr	JKX[	יָכַח	verb	reprove	59
yw	RJX/	רֵיחַ	subs	scent	59
ys	MDJN=/	מִדְיָן	nmpr	Midian	59
yu	NXL[	נָחַל	verb	take possession	59
yt	MGN/	מָגֵן	subs	shield	59
yv	RJB/	רִיב	subs	law-case	59
zd	CN/	שֵׁן	subs	tooth	58
zg	LWJ=/	לֵוִי	nmpr	Levi	58
ze	DNH	דְּנָה	prde	this	58
zc	CDD[	שָׁדַד	verb	despoil	58
za	>S>/	אָסָא	nmpr	Asa	58
zh	MDH/	מִדָּה	subs	measured stretch	58
zi	NV<[	נָטַע	verb	plant	58
zb	BLJ/	בְּלִי	subs	destruction	58
yy	>JWB/	אִיֹּוב	nmpr	Job	58
zj	PDH[	פָּדָה	verb	buy off	58
zk	XDL[	חָדַל	verb	cease	58
zf	JHW>/	יֵהוּא	nmpr	Jehu	58
yz	>LJC</	אֱלִישָׁע	nmpr	Elisha	58
zr	MZMWR/	מִזְמֹור	subs	psalm	57
zm	>DN/	אֶדֶן	subs	pedestal	57
zp	JRJXW/	יְרִיחֹו	nmpr	Jericho	57
zt	PRC/	פָּרָשׁ	subs	horseman	57
zu	RXQ[	רָחַק	verb	be far	57
zo	>T=	אַתְּ	prps	you	57
zv	THLH/	תְּהִלָּה	subs	praise	57
zq	MLKW/	מַלְכוּ	subs	kingdom	57
zl	>DJN	אֱדַיִן	advb	then	57
zs	P<L[	פָּעַל	verb	make	57
zn	>LWH/	אֱלֹוהַּ	subs	god	57
zw	<FR=/	עֶשֶׂר	subs	ten	56
baa	GJ>/	גַּיְא	subs	valley	56
bae	XZQ/	חָזָק	adjv	strong	56
bad	XLQ[	חָלַק	verb	divide	56
zz	CMMH/	שְׁמָמָה	subs	desolation	56
bag	ZR<[	זָרַע	verb	sow	56
bab	RYWN/	רָצֹון	subs	pleasure	56
baf	YDQJHW/	צִדְקִיָּהוּ	nmpr	Zedekiah	56
bac	VRM/	טֶרֶם	subs	beginning	56
zx	<LJWN/	עֶלְיֹון	adjv	upper	56
zy	>LMNH/	אַלְמָנָה	subs	widow	56
bai	<RWH/	עֶרְוָה	subs	nakedness	55
baj	>RJH/	אַרְיֵה	subs	lion	55
ban	J<R/	יַעַר	subs	wood	55
bao	Y<Q[	צָעַק	verb	cry	55
bak	>STR/	אֶסְתֵּר	nmpr	Esther	55
bah	<ML/	עָמָל	subs	labour	55
bam	GPN/	גֶּפֶן	subs	vine	55
bal	DBQ[	דָּבַק	verb	cling, cleave to	55
bay	MRWM/	מָרֹום	subs	high place	54
baq	DBC/	דְּבַשׁ	subs	honey	54
bav	JYQ[	יָצַק	verb	pour	54
bau	JRJ<H/	יְרִיעָה	subs	curtain	54
baz	NDX[	נָדַח	verb	wield	54
bbb	XTT[	חָתַת	verb	be terrified	54
bba	QVN/	קָטֹן	adjv	small	54
baw	K<S[	כָּעַס	verb	be discontent	54
bas	GML/	גָּמָל	subs	camel	54
bar	FM>L/	שְׂמֹאל	subs	lefthand side	54
bat	HMN=/	הָמָן	nmpr	Haman	54
bax	LBN=/	לָבָן	nmpr	Laban	54
bap	>BH[	אָבָה	verb	want	54
bbg	SLT/	סֹלֶת	subs	wheat groat	53
bbd	MDD[	מָדַד	verb	measure	53
bbj	YL/	צֵל	subs	shadow	53
bbf	RNN[	רָנַן	verb	cry of joy	53
bbh	XY/	חֵץ	subs	arrow	53
bbe	MYH/	מַצָּה	subs	matzah	53
bbc	CW>/	שָׁוְא	subs	vanity	53
bbi	YDWQ/	צָדֹוק	nmpr	Zadok	53
bbo	MXR/	מָחָר	subs	next day	52
bbp	XDC/	חָדָשׁ	adjv	new	52
bbk	F<JR/	שָׂעִיר	subs	he-goat	52
bbn	ML>/	מָלֵא	adjv	full	52
bbm	MCKB/	מִשְׁכָּב	subs	couch	52
bbl	J>CJHW/	יֹאשִׁיָּהוּ	nmpr	Josiah	52
bbz	R>CJT/	רֵאשִׁית	subs	beginning	51
bbr	>XRWN/	אַחֲרֹון	adjv	at the back	51
bbv	KBS[	כָּבַס	verb	wash	51
bbw	MWSR/	מוּסָר	subs	chastening	51
bbu	JHWJD</	יְהֹויָדָע	nmpr	Jehoiada	51
bbq	>MR/	אֵמֶר	subs	word	51
bby	QRC/	קֶרֶשׁ	subs	board	51
bbs	BQ<[	בָּקַע	verb	split	51
bbt	HWJ	הֹוי	intj	alas	51
bbx	NPTLJ/	נַפְתָּלִי	nmpr	Naphtali	51
bca	BHL[	בָּהַל	verb	disturb	50
bcf	RXB<M/	רְחַבְעָם	nmpr	Rehoboam	50
bci	XRM[	חָרַם	verb	consecrate	50
bcg	T<H[	תָּעָה	verb	err	50
bch	XBL=/	חֶבֶל	subs	cord	50
bcd	HNH==	הֵנָּה	advb	here	50
bce	JWMM	יֹומָם	advb	by day	50
bcc	CKM=/	שְׁכֶם	nmpr	Shechem	50
bcb	BTWLH/	בְּתוּלָה	subs	virgin	50
bco	BGD[	בָּגַד	verb	deal treacherously	49
bde	TP>RT/	תִּפְאֶרֶת	subs	splendour	49
bcx	NKR[	נָכַר	verb	recognise	49
bdc	RYH[	רָצָה	verb	like	49
bcv	NFG[	נָשַׂג	verb	overtake	49
bcs	JYB[	יָצַב	verb	stand	49
bct	MCQL/	מִשְׁקָל	subs	weight	49
bcm	>PD/	אֵפֹד	subs	ephod	49
bdf	VB<T/	טַבַּעַת	subs	sealing ring	49
bcw	NGP[	נָגַף	verb	hurt	49
bcl	>MWNH/	אֱמוּנָה	subs	steadiness	49
bcr	JR>/	יָרֵא	adjv	afraid	49
bcu	MXCBH/	מַחֲשָׁבָה	subs	thought	49
bdd	TKLT/	תְּכֵלֶת	subs	purple wool	49
bda	PXD/	פַּחַד	subs	trembling	49
bcj	<BWR/	עֲבוּר	subs	way	49
bdb	QYJR/	קָצִיר	subs	harvest	49
bcy	PRY[	פָּרַץ	verb	break	49
bcz	PSX/	פֶּסַח	subs	Passover	49
bcq	JH/	יָהּ	nmpr	the Lord	49
bck	>JLM/	אֵילָם	subs	porch	49
bcp	G>WN/	גָּאֹון	subs	height	49
bcn	>WR[	אֹור	verb	be light	49
bdo	MGDL/	מִגְדָּל	subs	tower	48
bdj	DL/	דַּל	adjv	poor	48
bds	SMK[	סָמַךְ	verb	support	48
bdk	FQ/	שַׂק	subs	sack	48
bdt	XTJ/	חִתִּי	adjv	Hittite	48
bdn	JCM<>L/	יִשְׁמָעֵאל	nmpr	Ishmael	48
bdr	RPH[	רָפָה	verb	be slack	48
bdi	CDJ/	שַׁדַּי	nmpr	Almighty	48
bdq	NBLH=/	נְבֵלָה	subs	corpse	48
bdg	BR>[	בָּרָא	verb	create	48
bdh	CBJ/	שְׁבִי	subs	captive	48
bdl	GLWLJM/	גִּלּוּלִים	subs	idols	48
bdp	MKH/	מַכָּה	subs	blow	48
bdm	HNH=	הֵנָּה	prps	they	48
bea	LCKH/	לִשְׁכָּה	subs	hall	47
beb	M<LH=/	מַעֲלָה	subs	ascent	47
beh	XRC[	חָרַשׁ	verb	be deaf	47
bef	RYX[	רָצַח	verb	kill	47
bdx	GRC[	גָּרַשׁ	verb	drive out	47
bdz	JXD/	יַחַד	subs	gathering	47
bei	YPH=[	צָפָה	verb	arrange	47
bed	QVN=/	קָטָן	adjv	small	47
bec	MTNJM/	מָתְנַיִם	subs	hips	47
bdv	CBH[	שָׁבָה	verb	take captive	47
bdy	JW>C/	יֹואָשׁ	nmpr	Joash	47
bdu	<D/	עַד	subs	future	47
beg	XNJT/	חֲנִית	subs	spear	47
bee	RXL=/	רָחֵל	nmpr	Rachel	47
bdw	FH/	שֶׂה	subs	lamb	47
bew	QCB[	קָשַׁב	verb	give attention	46
bej	<YR[	עָצַר	verb	restrain	46
bep	JRH[	יָרָה	verb	teach	46
ber	MCTH/	מִשְׁתֶּה	subs	drinking	46
beu	PG<[	פָּגַע	verb	meet	46
bet	NX/	נֹחַ	nmpr	Noah	46
bev	PRR[	פָּרַר	verb	break	46
ben	CNH[	שָׁנָה	verb	change	46
bel	>SP==/	אָסָף	nmpr	Asaph	46
bek	>CM/	אָשָׁם	subs	guilt	46
beo	DBR=/	דֶּבֶר	subs	pest	46
bex	QWH[	קָוָה	verb	wait for	46
bes	N<WRJM/	נְעוּרִים	subs	youth	46
beq	M>N[	מָאֵן	verb	refuse	46
bem	BXWR/	בָּחוּר	subs	young man	46
bey	SLX[	סָלַח	verb	forgive	46
bfb	>JH	אַיֵּה	inrg	where	45
bfe	JYR[	יָצַר	verb	shape	45
bfk	ZBWLWN/	זְבוּלוּן	nmpr	Zebulun	45
bfl	ZMR[	זָמַר	verb	sing	45
bez	<MD/	עִמָּד	subs	company	45
bfc	>WLJ	אוּלַי	advb	perhaps	45
bfa	>CR=/	אֶשֶׁר	subs	happiness	45
bfg	NKRJ/	נָכְרִי	adjv	foreign	45
bfj	SRJS/	סָרִיס	subs	official	45
bff	MRH[	מָרָה	verb	rebel	45
bfd	GJL[	גִּיל	verb	rejoice	45
bfi	RXM[	רָחַם	verb	have compassion	45
bfh	QWMH/	קֹומָה	subs	height	45
bfo	BLL[	בָּלַל	verb	moisten, confound	44
bfm	<WD[	עוּד	verb	warn, to witness	44
bft	NGJD/	נָגִיד	subs	chief	44
bfp	CM<WN/	שִׁמְעֹון	nmpr	Simeon	44
bga	XLB/	חָלָב	subs	milk	44
bfx	RW<[	רוּעַ	verb	shout	44
bfs	MWCB/	מֹושָׁב	subs	seat	44
bfv	NR/	נֵר	subs	lamp	44
bfy	VWB[	טֹוב	verb	be good	44
bfu	NQH[	נָקָה	verb	be clean	44
bfr	MF>/	מַשָּׂא	subs	burden	44
bgb	XLY[	חָלַץ	verb	draw off	44
bfn	>TWN/	אָתֹון	subs	she-ass	44
bfq	JR>H/	יִרְאָה	subs	fear	44
bgc	YW>R/	צַוָּאר	subs	neck	44
bfw	QCR[	קָשַׁר	verb	tie	44
bfz	XGR[	חָגַר	verb	gird	44
bhd	XJL[	חִיל	verb	have labour pain, to cry	43
bgw	NQJ/	נָקִי	adjv	innocent	43
bgi	BZZ[	בָּזַז	verb	spoil	43
bge	>KL/	אֹכֶל	subs	food	43
bgo	JFFKR/	יִשָּׂשׂכָר	nmpr	Issachar	43
bhc	V<M/	טַעַם	subs	taste	43
bhb	TBW>H/	תְּבוּאָה	subs	yield	43
bgh	BZH[	בָּזָה	verb	despise	43
bgy	PCV[	פָּשַׁט	verb	strip off	43
bgt	MTJ	מָתַי	inrg	when	43
bgq	JSR[	יָסַר	verb	admonish	43
bgj	CBR/	שֶׁבֶר	subs	breaking	43
bgl	HRH[	הָרָה	verb	be pregnant	43
bhe	XRBH=/	חָרְבָּה	subs	ruin	43
bhf	YRR[	צָרַר	verb	wrap, be narrow	43
bgk	CM<J=/	שִׁמְעִי	nmpr	Shimei	43
bha	RXB==/	רְחֹב	subs	open place	43
bgp	JPH/	יָפֶה	adjv	beautiful	43
bgs	LWX/	לוּחַ	subs	tablet	43
bgz	QN>H/	קִנְאָה	subs	jealousy	43
bgu	MXLQT/	מַחֲלֹקֶת	subs	division	43
bgd	>CR==/	אָשֵׁר	nmpr	Asher	43
bgg	BLQ/	בָּלָק	nmpr	Balak	43
bgr	JXL[	יָחַל	verb	wait, to hope	43
bgm	HRS[	הָרַס	verb	tear down	43
bgn	J>R=/	יְאֹר	nmpr	Nile	43
bgv	NJXX/	נִיחֹחַ	subs	smell of appeasement	43
bgx	NYX/	נֵצַח	subs	glory	43
bgf	>PS/	אֶפֶס	subs	end	43
bhq	MNWRH/	מְנֹורָה	subs	lamp stand	42
bho	JWNTN/	יֹונָתָן	nmpr	Jonathan	42
bhx	ZWB[	זוּב	verb	flow	42
bhj	CNJ=/	שָׁנִי	subs	scarlet	42
bhv	VP/	טַף	subs	<those unable to march>	42
bhp	KNWR/	כִּנֹּור	subs	cither	42
bhg	>NWC/	אֱנֹושׁ	subs	man	42
bhw	YR====/	צֹר	nmpr	Tyrus	42
bhn	JTWM/	יָתֹום	subs	orphan	42
bhr	NTN/	נָתָן	nmpr	Nathan	42
bhk	GWLH/	גֹּולָה	subs	exile	42
bhl	JCJ/	יִשַׁי	nmpr	Jesse	42
bhh	BDL[	בָּדַל	verb	separate	42
bhm	JQR/	יָקָר	adjv	rare	42
bht	RGZ[	רָגַז	verb	quake	42
bhu	TBWNH/	תְּבוּנָה	subs	understanding	42
bhi	BVX/	בֶּטַח	subs	trust	42
bhs	NTY[	נָתַץ	verb	break	42
bhy	>MY[	אָמֵץ	verb	be strong	41
bih	CMH/	שַׁמָּה	subs	destruction	41
bir	YDQ[	צָדֵק	verb	be just	41
big	BRJX/	בְּרִיחַ	subs	bar	41
bie	BJT_LXM/	בֵּית לֶחֶם	nmpr	Bethlehem	41
bil	JSD[	יָסַד	verb	found	41
bia	>RB[	אָרַב	verb	lie in ambush	41
bid	>ZN[	אָזַן	verb	listen	41
bin	KBD/	כָּבֵד	adjv	heavy	41
bip	PC<[	פָּשַׁע	verb	rebel	41
bic	>XZ=/	אָחָז	nmpr	Ahaz	41
bij	GN/	גַּן	subs	garden	41
bim	JXZQJHW/	יְחִזְקִיָּהוּ	nmpr	Hezekiah	41
bib	>XWR/	אָחֹור	subs	back(wards)	41
bif	BL<[	בָּלַע	verb	swallow	41
bio	M<LL/	מַעֲלָל	subs	deed	41
bik	JBWSJ/	יְבוּסִי	adjv	Jebusite	41
bhz	>N	אָן	inrg	whither	41
bii	CQV[	שָׁקַט	verb	be at peace	41
biq	XRWN/	חָרֹון	subs	anger	41
bjb	NW<[	נוּעַ	verb	quiver	40
biw	GCM/	גֶּשֶׁם	subs	rain	40
bje	YL</	צֵלָע	subs	side	40
bix	GLGL===/	גִּלְגָּל	nmpr	Gilgal	40
bjg	ZRH[	זָרָה	verb	scatter	40
bis	<L/	עֹל	subs	yoke	40
biu	>JPH/	אֵיפָה	subs	ephah	40
bja	NVC[	נָטַשׁ	verb	abandon	40
bjc	NXC/	נָחָשׁ	subs	serpent	40
bit	>CRH/	אֲשֵׁרָה	subs	asherah	40
biy	GNB[	גָּנַב	verb	steal	40
bjf	YPWR/	צִפֹּור	subs	bird	40
bjd	XML[	חָמַל	verb	have compassion	40
biz	MYPH=/	מִצְפָּה	nmpr	Mizpah	40
biv	DGN/	דָּגָן	subs	corn	40
bjx	T>NH/	תְּאֵנָה	subs	fig	39
bjn	MCJX/	מָשִׁיחַ	subs	anointed	39
bjy	TWLDWT/	תֹּולֵדֹות	subs	generations	39
bjm	GD<WN/	גִּדְעֹון	nmpr	Gideon	39
bjp	MRKBH/	מֶרְכָּבָה	subs	chariot	39
bjh	<MLQ/	עֲמָלֵק	nmpr	Amalek	39
bjt	QHL[	קָהַל	verb	assemble	39
bjq	MRMH/	מִרְמָה	subs	deceit	39
bjl	F<JR====/	שֵׂעִיר	nmpr	Seir	39
bjs	NXH[	נָחָה	verb	lead	39
bjr	MRRJ=/	מְרָרִי	nmpr	Merari	39
bjj	BJNH/	בִּינָה	subs	understanding	39
bka	XRD[	חָרַד	verb	tremble	39
bjo	MCL/	מָשָׁל	subs	proverb	39
bju	QRJH/	קִרְיָה	subs	town	39
bjw	SDM/	סְדֹם	nmpr	Sodom	39
bji	>J	אֵי	inrg	where	39
bjv	RXMJM/	רַחֲמִים	subs	compassion	39
bjz	XPY/	חֵפֶץ	subs	pleasure	39
bjk	DJ/	דַּי	subs	sufficiency	39
bki	DMFQ/	דַּמֶּשֶׂק	nmpr	Damascus	38
bkb	<DR/	עֵדֶר	subs	flock	38
bkk	KLM[	כָּלַם	verb	humiliate	38
bkf	CC=/	שֵׁשׁ	subs	linen	38
bkc	<FB/	עֵשֶׂב	subs	herb	38
bkr	TWL<T/	תֹּולַעַת	subs	worm	38
bkh	CMJN/	שְׁמַיִן	subs	heaven	38
bkj	FRH=/	שָׂרָה	nmpr	Sarah	38
bkv	XRP[	חָרַף	verb	reproach	38
bko	MVR/	מָטָר	subs	rain	38
bkt	XDR/	חֶדֶר	subs	room	38
bks	XCBWN==/	חֶשְׁבֹּון	nmpr	Heshbon	38
bkn	ML>=/	מְלֹא	subs	fullness	38
bkm	M<RH/	מְעָרָה	subs	cave	38
bkp	PXH/	פֶּחָה	subs	governor	38
bke	>RGMN/	אַרְגָּמָן	subs	purple-wool	38
bkd	<J=/	עַי	nmpr	Ai	38
bkw	ZJT/	זַיִת	subs	olive	38
bkq	TJRWC/	תִּירֹושׁ	subs	wine	38
bku	XJQ/	חֵיק	subs	lap	38
bkl	KWL[	כּוּל	verb	comprehend	38
bkg	CMCWN/	שִׁמְשֹׁון	nmpr	Samson	38
bln	P<L/	פֹּעַל	subs	doing	37
blk	MBYR/	מִבְצָר	subs	fortification	37
blr	XRB[	חָרֵב	verb	be dry	37
blt	YPH[	צָפָה	verb	look out	37
bls	XSH[	חָסָה	verb	seek refuge	37
bld	GB<WN/	גִּבְעֹון	nmpr	Gibeon	37
bli	KWKB/	כֹּוכָב	subs	star	37
blj	LQV[	לָקַט	verb	gather	37
bkx	<CQ[	עָשַׁק	verb	oppress	37
bky	<CR/	עֹשֶׁר	subs	riches	37
blo	PLGC/	פִּלֶגֶשׁ	subs	concubine	37
blq	SJXWN/	סִיחֹון	nmpr	Sihon	37
bkz	>CM[	אָשֵׁם	verb	do wrong	37
ble	GBH/	גָּבֹהַּ	adjv	high	37
bll	MLKH/	מַלְכָּה	subs	queen	37
blm	MR/	מַר	adjv	bitter	37
blg	JHWJQJM/	יְהֹויָקִים	nmpr	Jehoiakim	37
blb	>TH[	אָתָה	verb	come	37
bla	>MRH/	אִמְרָה	subs	word	37
blh	KKH	כָּכָה	advb	thus	37
blp	QRX==/	קֹרַח	nmpr	Korah	37
blf	GML[	גָּמַל	verb	deal fully	37
blc	CW<R/	שֹׁועֵר	subs	porter	37
bly	>LH=/	אָלָה	subs	curse	36
bmj	MWL/	מוּל	subs	front	36
bmh	M<L[	מָעַל	verb	be unfaithful	36
bml	MWV[	מוּט	verb	totter	36
bmq	THWM/	תְּהֹום	subs	primeval ocean	36
bmr	TRW<H/	תְּרוּעָה	subs	shouting	36
bmc	FXQ[	שָׂחַק	verb	laugh	36
blv	>BL[	אָבַל	verb	mourn	36
bmp	TBL/	תֵּבֵל	subs	world	36
bmu	XMT=/	חֲמָת	nmpr	Hamath	36
bmd	JC</	יֵשַׁע	subs	help	36
bmg	KR<[	כָּרַע	verb	kneel	36
blx	>J/	אִי	subs	coast, island	36
blu	<NJ=/	עֳנִי	subs	poverty	36
bmt	VM>H/	טֻמְאָה	subs	uncleanness	36
bma	CRC/	שֹׁרֶשׁ	subs	root	36
blw	>HBH/	אֲהָבָה	subs	love	36
bmm	NKR/	נֵכָר	subs	foreigner	36
bme	KLB=/	כָּלֵב	nmpr	Caleb	36
bmb	DT/	דָּת	subs	orders	36
bmf	KN<[	כָּנַע	verb	be humble	36
bmo	QCH/	קָשֶׁה	adjv	hard	36
bmi	MCK[	מָשַׁךְ	verb	draw	36
blz	>WRJH/	אוּרִיָּה	nmpr	Uriah	36
bms	VL/	טַל	subs	dew	36
bmk	MWPT/	מֹופֵת	subs	sign	36
bmn	NSH[	נָסָה	verb	try	36
bmy	>WPN/	אֹופַן	subs	wheel	35
bmw	<RL/	עָרֵל	adjv	uncircumcised	35
bng	SJNJ=/	סִינַי	nmpr	Sinai	35
bmv	<GL/	עֵגֶל	subs	bull	35
bnb	M<WZ/	מָעֹוז	subs	fort	35
bnh	STR/	סֵתֶר	subs	hiding place	35
bna	JC<JHW/	יְשַׁעְיָהוּ	nmpr	Isaiah	35
bmx	>RJ/	אֲרִי	subs	lion	35
bni	XRC/	חָרָשׁ	subs	artisan	35
bmz	CB<==/	שֶׁבַע	nmpr	Sheba	35
bne	QYP[	קָצַף	verb	be angry	35
bnk	YR<T/	צָרַעַת	subs	skin-disease	35
bnj	XZWN/	חָזֹון	subs	vision	35
bnd	NQM[	נָקַם	verb	avenge	35
bnc	MCNH/	מִשְׁנֶה	subs	second	35
bnf	RMH==/	רָמָה	nmpr	Ramah	35
boc	PRX[	פָּרַח	verb	sprout	34
bnn	>RK[	אָרַךְ	verb	be long	34
bom	YLM/	צֶלֶם	subs	image	34
boe	QYR=[	קָצַר	verb	harvest	34
bns	GB<H=/	גִּבְעָה	nmpr	Gibeah	34
bnz	LBWC/	לְבוּשׁ	subs	clothing	34
bok	XV>/	חֵטְא	subs	offence	34
bol	YD/	צַד	subs	side	34
bnp	CM<JH/	שְׁמַעְיָה	nmpr	Shemaiah	34
bnl	<BRH=/	עֶבְרָה	subs	anger	34
boa	MXH[	מָחָה	verb	wipe	34
bnr	F<RH/	שְׂעֹרָה	subs	barley	34
bnw	JRK/	יָרֵךְ	subs	upper thigh	34
bnv	HMH[	הָמָה	verb	make noise	34
bno	>YB</	אֶצְבַּע	subs	finger	34
bob	NWP[	נוּף	verb	swing	34
bnt	GBH[	גָּבַהּ	verb	be high	34
boh	TCW<H/	תְּשׁוּעָה	subs	salvation	34
bnu	GRN/	גֹּרֶן	subs	threshing-floor	34
bny	L>H/	לֵאָה	nmpr	Leah	34
boj	XMJCJ/	חֲמִישִׁי	adjv	fifth	34
bnm	<BRJ/	עִבְרִי	adjv	Hebrew	34
bnx	KLH/	כַּלָּה	subs	bride	34
boi	XB>[	חָבָא	verb	hide	34
bod	QN>[	קָנָא	verb	be jealous	34
bof	RB==/	רַב	subs	chief	34
bon	ZRQ[	זָרַק	verb	toss	34
bog	RC<[	רָשַׁע	verb	be guilty	34
bnq	CPL[	שָׁפֵל	verb	be low	34
boy	HDR/	הָדָר	subs	ornament	33
bpa	JZR<>L/	יִזְרְעֶאל	nmpr	<town>	33
bpg	RNH/	רִנָּה	subs	cry of joy	33
bou	<ZRJH/	עֲזַרְיָה	nmpr	Azariah	33
bpj	XTN[	חָתַן	verb	be father-in-law	33
bpl	YRP[	צָרַף	verb	melt	33
bpd	MNH[	מָנָה	verb	count	33
bov	BR/	בַּר	subs	grain	33
box	GT=/	גַּת	nmpr	Gath	33
bph	SWP/	סוּף	subs	rush	33
boq	<LL[	עָלַל	verb	deal with	33
bos	<RP/	עֹרֶף	subs	neck	33
bpe	NBWKDR>YR/	נְבוּכַדְרֶאצַּר	nmpr	Nebuchadnezzar	33
bot	<WLH/	עַוְלָה	subs	wickedness	33
boz	JMNJ/	יְמָנִי	adjv	right-hand	33
boo	<FRWN/	עִשָּׂרֹון	subs	tenth part	33
bpb	LWV=/	לֹוט	nmpr	Lot	33
bop	<LJ==/	עֵלִי	nmpr	Eli	33
bow	GDWD/	גְּדוּד	subs	band	33
bpf	QLLH/	קְלָלָה	subs	curse	33
bor	<RK/	עֵרֶךְ	subs	arrangement	33
bpk	YMX[	צָמַח	verb	sprout	33
bpi	XBC[	חָבַשׁ	verb	saddle	33
bpc	MJKH/	מִיכָה	nmpr	Micah	33
bpm	<MH/	עֻמָּה	subs	side	32
bqk	XNM	חִנָּם	advb	in vain	32
bqa	PCR/	פֵּשֶׁר	subs	interpretation	32
bqh	VBX=/	טַבָּח	subs	butcher	32
bpo	JRH=[	יָרָה	verb	cast	32
bqf	TQWH/	תִּקְוָה	subs	hope	32
bqc	PQDH/	פְּקֻדָּה	subs	commission	32
bpw	MYBH/	מַצֵּבָה	subs	massebe	32
bqm	YPN[	צָפַן	verb	hide	32
bpq	KLB/	כֶּלֶב	subs	dog	32
bpv	MXRT/	מָחֳרָת	subs	next day	32
bpr	KXD[		verb	hide	32
bpn	>RMWN/	אַרְמֹון	subs	dwelling tower	32
bpu	M>WMH/	מְאוּמָה	subs	something	32
bqe	RMWN/	רִמֹּון	subs	pomegranate	32
bqg	TWDH/	תֹּודָה	subs	thanksgiving	32
bql	XSJD/	חָסִיד	adjv	loyal	32
bqj	XJRM/	חִירָם	nmpr	Hiram	32
bqd	QHT/	קְהָת	nmpr	Kohath	32
bpt	M<JM/	מֵעִים	subs	bowels	32
bqi	VWB=/	טוּב	subs	best	32
bpz	NWH/	נָוֶה	subs	pasture	32
bpy	NCQ[	נָשַׁק	verb	kiss	32
bps	M<FR/	מַעֲשֵׂר	subs	tenth	32
bpp	JWNH/	יֹונָה	subs	dove	32
bqb	PNJMJ/	פְּנִימִי	adjv	inner	32
bpx	MZRQ/	מִזְרָק	subs	bowl	32
