lexid	lexeme	vocalized	p_o_s	gloss	freq
rr	XRH[	חָרָה	verb	be hot	92
rp	QYH=/	קָצֶה	subs	end	92
rm	GR/	גֵּר	subs	sojourner	92
rq	XLB=/	חֵלֶב	subs	fat	92
rv	MLKWT/	מַלְכוּת	subs	kingship	91
rt	CMD[	שָׁמַד	verb	destroy	91
ru	KRWB/	כְּרוּב	subs	cherub	91
rs	CLM/	שֶׁלֶם	subs	final offer	91
rx	ZRW</	זְרֹועַ	subs	arm	91
rw	TMJM/	תָּמִים	adjv	complete	91
ry	JLD/	יֶלֶד	subs	boy	89
rz	QRN/	קֶרֶן	subs	horn	89
sb	CQL/	שֶׁקֶל	subs	shekel	88
sc	VM>/	טָמֵא	adjv	unclean	88
sa	CJR[	שִׁיר	verb	sing	88
sf	B<R[	בָּעַר	verb	burn	87
si	GBR/	גֶּבֶר	subs	vigorous man	87
sh	DLT/	דֶּלֶת	subs	door	87
sd	<NN/	עָנָן	subs	cloud	87
se	>MRJ/	אֱמֹרִי	adjv	Amorite	87
sg	CMM[	שָׁמֵם	verb	be desolate	87
sk	LMD[	לָמַד	verb	learn	86
sj	<YH/	עֵצָה	subs	counsel	86
sm	RXWQ/	רָחֹוק	adjv	remote	85
sl	CJT[	שִׁית	verb	put	85
sn	XZH[	חָזָה	verb	see	85
sp	JHWCPV/	יְהֹושָׁפָט	nmpr	Jehoshaphat	84
so	HMWN/	הָמֹון	subs	commotion	84
sr	SGR[	סָגַר	verb	close	84
sq	P>H/	פֵּאָה	subs	corner	84
su	GWR[	גּוּר	verb	dwell	83
ss	<DWT/	עֵדוּת	subs	reminder	83
st	CLJCJ/	שְׁלִישִׁי	adjv	third	83
sv	CWR/	שֹׁור	subs	bullock	82
sy	QLL[	קָלַל	verb	be slight	82
sx	PH	פֹּה	advb	here	82
ta	ZKR=/	זָכָר	adjv	male	82
sz	STR[	סָתַר	verb	hide	82
sw	JHWNTN/	יְהֹונָתָן	nmpr	Jehonathan	82
td	MHR[	מָהַר	verb	hasten	81
tb	<ZR[	עָזַר	verb	help	81
tc	DNJ>L/	דָּנִיֵּאל	nmpr	Daniel	81
tl	QRBN/	קָרְבָּן	subs	offering	80
ti	MCL[	מָשַׁל	verb	rule	80
te	<WR[	עוּר	verb	be awake	80
tm	XCK/	חֹשֶׁךְ	subs	darkness	80
tg	J<Y[	יָעַץ	verb	advise	80
th	KFDJM/	כַּשְׂדִּים	nmpr	Chaldeans	80
tf	CXV[	שָׁחַט	verb	slaughter	80
tj	MKR[	מָכַר	verb	sell	80
tk	PLL[	פָּלַל	verb	pray	80
ts	XNN[	חָנַן	verb	favour	79
tn	<NH=[	עָנָה	verb	be lowly	79
to	>WT/	אֹות	subs	sign	79
tp	>WYR/	אֹוצָר	subs	supply	79
tr	QNH[	קָנָה	verb	buy	79
tq	GB<H/	גִּבְעָה	subs	hill	79
tx	NG</	נֶגַע	subs	stroke	78
tu	>WN=/	אָוֶן	subs	wickedness	78
tt	<Z/	עֹז	subs	power	78
tz	TC</	תֵּשַׁע	subs	nine	78
tv	JCW<H/	יְשׁוּעָה	subs	salvation	78
ty	RKB[	רָכַב	verb	ride	78
tw	MCMRT/	מִשְׁמֶרֶת	subs	guard-post	78
uc	TPLH/	תְּפִלָּה	subs	prayer	77
ua	GWRL/	גֹּורָל	subs	lot	77
ub	JBC[	יָבֵשׁ	verb	be dry	77
ud	XPY[	חָפֵץ	verb	desire	77
ug	HWH[	הָוָה	verb	become	76
ui	QCT/	קֶשֶׁת	subs	bow	76
uf	CJR/	שִׁיר	subs	song	76
uh	MQNH/	מִקְנֶה	subs	purchase	76
uj	QRWB/	קָרֹוב	adjv	near	76
ue	BRZL/	בַּרְזֶל	subs	iron	76
uk	TRWMH/	תְּרוּמָה	subs	contribution	76
ul	<NJ/	עָנִי	adjv	humble	75
uo	MQDC/	מִקְדָּשׁ	subs	sanctuary	75
up	XLH[	חָלָה	verb	become weak	75
um	<RK[	עָרַךְ	verb	arrange	75
un	M>S[	מָאַס	verb	retract	75
ur	B>R/	בְּאֵר	subs	well	74
us	MZRX/	מִזְרָח	subs	sunrise	74
uy	Z<Q[	זָעַק	verb	cry	74
ut	NYB[	נָצַב	verb	stand	74
uv	SLH	סֶלָה	intj	sela	74
uu	QJR/	קִיר	subs	wall	74
ux	YWR/	צוּר	subs	rock	74
uq	<Z==/	עֵז	subs	goat	74
uw	XZQJHW/	חִזְקִיָּהוּ	nmpr	Hizkiah	74
va	>RZ/	אֶרֶז	subs	cedar	73
vf	PL>[	פָּלָא	verb	be miraculous	73
vd	HBL/	הֶבֶל	subs	breath	73
vg	RXY[	רָחַץ	verb	wash	73
vc	CLL/	שָׁלָל	subs	plunder	73
vh	XRPH/	חֶרְפָּה	subs	reproach	73
uz	<WP/	עֹוף	subs	birds	73
ve	KN<NJ/	כְּנַעֲנִי	adjv	Canaanite	73
vb	BL	בַּל	nega	not	73
vo	YRH/	צָרָה	subs	distress	72
vm	MDW<	מַדּוּעַ	inrg	why	72
vn	R>WBN/	רְאוּבֵן	nmpr	Reuben	72
vj	BJT_>L/	בֵּית אֵל	nmpr	Bethel	72
vi	>L<ZR/	אֶלְעָזָר	nmpr	Eleazar	72
vl	CWPR/	שֹׁופָר	subs	horn	72
vk	BVN/	בֶּטֶן	subs	belly	72
vr	CLXN/	שֻׁלְחָן	subs	table	71
vs	LBNWN/	לְבָנֹון	nmpr	Lebanon	71
vp	BRKH/	בְּרָכָה	subs	blessing	71
vt	YR=/	צַר	subs	adversary	71
vq	CBT[	שָׁבַת	verb	cease	71
vv	BWR/	בֹּור	subs	cistern	70
vu	>SR[	אָסַר	verb	bind	70
vy	KSJL/	כְּסִיל	adjv	insolent	70
vx	GD==/	גָּד	nmpr	Gad	70
vz	LJN[	לִין	verb	lodge	70
vw	DN/	דָּן	nmpr	Dan	70
wa	ZR/	זָר	adjv	strange	70
