passage	phrase_text	phrase_gloss	head	attributive	#words_mother	#nouns_mother
Genesis 39:1	PWVJPR SRJS PR<H #R HVBXJM >J# MYRJ 	Potiphar official pharaoh chief the butcher man Egyptian	>J# 	MYRJ 	1	1
Genesis 39:9	HR<H HGDLH HZ>T 	the evil the great the this	HR<H 	HGDLH 	2	1
Genesis 39:14	>J# <BRJ 	man Hebrew	>J# 	<BRJ 	1	1
Genesis 39:14	BQWL GDWL00 	in sound great	QWL 	GDWL00 	1	1
Genesis 39:17	H<BD H<BRJ 	the servant the Hebrew	H<BD 	H<BRJ 	2	1
Genesis 40:13	KM#PV HR>#WN 	as the justice the first	M#PV 	HR>#WN 	2	1
Genesis 40:17	BSL H<LJWN 	in the basket the upper	SL 	H<LJWN 	2	1
Genesis 40:20	BJWM H#LJ#J JWM 	in the day the third day	JWM 	H#LJ#J 	2	1
Genesis 41:2	#B< PRWT JPWT MR>H WBRJ>T B#R 	seven cow beautiful sight and fat flesh	#B< PRWT 	JPWT MR>H WBRJ>T B#R 	2	2
Genesis 41:3	#B< PRWT >XRWT R<WT MR>H WDQWT B#R 	seven cow other evil sight and thin flesh	#B< PRWT 	>XRWT 	2	2
Genesis 41:4	HPRWT R<WT HMR>H WDQT HB#R 	the cow evil the sight and thin the flesh	HPRWT 	R<WT HMR>H WDQT HB#R 	2	1
Genesis 41:4	>T #B< HPRWT JPT HMR>H WHBRJ>T 	<object marker> seven the cow beautiful the sight and the fat	#B< HPRWT 	JPT HMR>H WHBRJ>T 	3	2
Genesis 41:6	#B< #BLJM DQWT W#DWPT QDJM 	seven grain thin and scorch east	#B< #BLJM 	DQWT W#DWPT QDJM 	2	2
Genesis 41:7	H#BLJM HDQWT 	the grain the thin	H#BLJM 	HDQWT 	2	1
Genesis 41:7	>T #B< H#BLJM HBRJ>WT WHML>WT 	<object marker> seven the grain the fat and the full	#B< H#BLJM 	HBRJ>WT WHML>WT 	3	2
Genesis 41:12	N<R <BRJ <BD L#R HVBXJM 	boy Hebrew servant to chief the butcher	N<R 	<BRJ 	1	1
Genesis 41:18	#B< PRWT BRJ>WT B#R WJPT T>R 	seven cow fat flesh and beautiful form	#B< PRWT 	BRJ>WT B#R WJPT T>R 	2	2
Genesis 41:19	#B<&PRWT >XRWT DLWT WR<WT T>R M>D WRQWT B#R 	seven cow other poor and evil form might and thin flesh	#B<&PRWT 	>XRWT 	2	2
Genesis 41:20	HPRWT HRQWT WHR<WT 	the cow the thin and the evil	HPRWT 	HRQWT WHR<WT 	2	1
Genesis 41:20	>T #B< HPRWT HR>#NWT HBRJ>T00 	<object marker> seven the cow the first the fat	HPRWT 	HR>#NWT HBRJ>T00 	2	1
Genesis 41:23	#B< #BLJM YNMWT DQWT #DPWT QDJM 	seven grain barren thin scorch east	#B< #BLJM 	YNMWT DQWT #DPWT QDJM 	2	2
Genesis 41:24	H#BLJM HDQT 	the grain the thin	H#BLJM 	HDQT 	2	1
Genesis 41:24	>T #B< H#BLJM HVBWT 	<object marker> seven the grain the good	H#BLJM 	HVBWT 	2	1
