passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Genesis 17:18	609387	אֶל־הָֽאֱלֹהִ֑ים 	to the god(s)	Cmpl	>LHJM/	אֱלֹהִ֑ים 	7626
Genesis 17:19	609394	אֱלֹהִ֗ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֗ים 	7634
Genesis 17:22	609443	אֱלֹהִ֔ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	7709
Genesis 17:23	609456	אֱלֹהִֽים׃ 	god(s)	Subj	>LHJM/	אֱלֹהִֽים׃ 	7750
Genesis 19:29	610306	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	9032
Genesis 19:29	610310	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	9039
Genesis 20:3	610471	אֱלֹהִ֛ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	9283
Genesis 20:6	610515	הָֽאֱלֹהִ֜ים 	the god(s)	Subj	>LHJM/	אֱלֹהִ֜ים 	9344
Genesis 20:11	610612	יִרְאַ֣ת אֱלֹהִ֔ים 	fear god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	9475
Genesis 20:13	610633	אֱלֹהִים֮ 	god(s)	Subj	>LHJM/	אֱלֹהִים֮ 	9508
Genesis 20:17	610691	אֶל־הָאֱלֹהִ֑ים 	to the god(s)	Cmpl	>LHJM/	אֱלֹהִ֑ים 	9593
Genesis 20:17	610694	אֱלֹהִ֜ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֜ים 	9596
Genesis 21:2	610728	אֱלֹהִֽים׃ 	god(s)	Subj	>LHJM/	אֱלֹהִֽים׃ 	9653
Genesis 21:4	610748	אֱלֹהִֽים׃ 	god(s)	Subj	>LHJM/	אֱלֹהִֽים׃ 	9681
Genesis 21:6	610761	אֱלֹהִ֑ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֑ים 	9699
