passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Judges 5:3	677980	LJHWH >LHJ J#R>L00 	to YHWH god(s) Israel	Cmpl	>LHJM/	>LHJ 	129982
Judges 5:5	677998	MPNJ JHWH >LHJ J#R>L00 	from face YHWH god(s) Israel	Adju	>LHJM/	>LHJ 	130013
Judges 5:8	678019	>LHJM XD#JM 	god(s) new	Objc	>LHJM/	>LHJM 	130046
Judges 6:8	678338	JHWH >LHJ J#R>L 	YHWH god(s) Israel	Subj	>LHJM/	>LHJ 	130559
Judges 6:10	678363	JHWH >LHJKM 	YHWH god(s)	PreC	>LHJM/	>LHJKM 	130598
Judges 6:10	678366	>T&>LHJ H>MRJ 	<object marker> god(s) the Amorite	Objc	>LHJM/	>LHJ 	130602
Judges 6:20	678531	ML>K H>LHJM 	messenger the god(s)	Subj	>LHJM/	>LHJM 	130833
Judges 6:26	678627	LJHWH >LHJK 	to YHWH god(s)	Cmpl	>LHJM/	>LHJK 	131000
Judges 6:31	678733	>LHJM 	god(s)	PreC	>LHJM/	>LHJM 	131167
Judges 6:36	678790	>L&H>LHJM 	to the god(s)	Cmpl	>LHJM/	>LHJM 	131257
Judges 6:39	678836	>L&H>LHJM 	to the god(s)	Cmpl	>LHJM/	>LHJM 	131330
Judges 6:40	678859	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	131365
Judges 7:14	679127	H>LHJM 	the god(s)	Subj	>LHJM/	>LHJM 	131793
Judges 8:3	679333	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	132172
Judges 8:33	679719	L>LHJM00 	to god(s)	Cmpl	>LHJM/	>LHJM00 	132825
Judges 8:34	679724	>T&JHWH >LHJHM 	<object marker> YHWH god(s)	Objc	>LHJM/	>LHJHM 	132833
Judges 9:7	679838	>LHJM00 	god(s)	Subj	>LHJM/	>LHJM00 	133029
Judges 9:9	679860	>LHJM W>N#JM 	god(s) and man	Objc	>LHJM/	>LHJM 	133057
Judges 9:13	679901	>LHJM W>N#JM 	god(s) and man	Objc	>LHJM/	>LHJM 	133121
Judges 9:23	680029	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	133330
Judges 9:27	680089	BJT >LHJHM 	house god(s)	Cmpl	>LHJM/	>LHJHM 	133429
Judges 9:56	680500	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	134056
Judges 9:57	680510	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	134076
Judges 10:6	680573	>T&HB<LJM W>T&H<#TRWT W>T&>LHJ >RM W>T&>LHJ YJDWN W>T >LHJ MW>B W>T >LHJ BNJ&<MWN W>T >LHJ PL#TJM 	<object marker> the lord, baal and <object marker> the idol and <object marker> god(s) Aram and <object marker> god(s) Sidon and <object marker> god(s) Moab and <object marker> god(s) son Ammon and <object marker> god(s) Philistine	Objc	>LHJM/	>LHJ 	134193
Judges 10:6	680573	>T&HB<LJM W>T&H<#TRWT W>T&>LHJ >RM W>T&>LHJ YJDWN W>T >LHJ MW>B W>T >LHJ BNJ&<MWN W>T >LHJ PL#TJM 	<object marker> the lord, baal and <object marker> the idol and <object marker> god(s) Aram and <object marker> god(s) Sidon and <object marker> god(s) Moab and <object marker> god(s) son Ammon and <object marker> god(s) Philistine	Objc	>LHJM/	>LHJ 	134197
Judges 10:6	680573	>T&HB<LJM W>T&H<#TRWT W>T&>LHJ >RM W>T&>LHJ YJDWN W>T >LHJ MW>B W>T >LHJ BNJ&<MWN W>T >LHJ PL#TJM 	<object marker> the lord, baal and <object marker> the idol and <object marker> god(s) Aram and <object marker> god(s) Sidon and <object marker> god(s) Moab and <object marker> god(s) son Ammon and <object marker> god(s) Philistine	Objc	>LHJM/	>LHJ 	134201
Judges 10:6	680573	>T&HB<LJM W>T&H<#TRWT W>T&>LHJ >RM W>T&>LHJ YJDWN W>T >LHJ MW>B W>T >LHJ BNJ&<MWN W>T >LHJ PL#TJM 	<object marker> the lord, baal and <object marker> the idol and <object marker> god(s) Aram and <object marker> god(s) Sidon and <object marker> god(s) Moab and <object marker> god(s) son Ammon and <object marker> god(s) Philistine	Objc	>LHJM/	>LHJ 	134205
Judges 10:6	680573	>T&HB<LJM W>T&H<#TRWT W>T&>LHJ >RM W>T&>LHJ YJDWN W>T >LHJ MW>B W>T >LHJ BNJ&<MWN W>T >LHJ PL#TJM 	<object marker> the lord, baal and <object marker> the idol and <object marker> god(s) Aram and <object marker> god(s) Sidon and <object marker> god(s) Moab and <object marker> god(s) son Ammon and <object marker> god(s) Philistine	Objc	>LHJM/	>LHJ 	134210
Judges 10:10	680619	>T&>LHJNW 	<object marker> god(s)	Objc	>LHJM/	>LHJNW 	134305
Judges 10:13	680647	>LHJM >XRJM 	god(s) other	Objc	>LHJM/	>LHJM 	134354
Judges 10:14	680656	>L&H>LHJM 	to the god(s)	Cmpl	>LHJM/	>LHJM 	134367
Judges 10:16	680682	>T&>LHJ HNKR 	<object marker> god(s) the foreigner	Objc	>LHJM/	>LHJ 	134403
Judges 11:21	681010	JHWH >LHJ&J#R>L 	YHWH god(s) Israel	Subj	>LHJM/	>LHJ&	134910
Judges 11:23	681026	JHWH >LHJ J#R>L 	YHWH god(s) Israel	Subj	>LHJM/	>LHJ 	134960
Judges 11:24	681037	KMW# >LHJK 	Chemosh god(s)	Subj	>LHJM/	>LHJK 	134979
Judges 11:24	681044	JHWH >LHJNW 	YHWH god(s)	Subj	>LHJM/	>LHJNW 	134988
Judges 13:5	681547	NZJR >LHJM 	singled out god(s)	PreC	>LHJM/	>LHJM 	135769
Judges 13:6	681564	>J# H>LHJM 	man the god(s)	Subj	>LHJM/	>LHJM 	135798
Judges 13:6	681569	KMR>H ML>K H>LHJM 	as sight messenger the god(s)	PreC	>LHJM/	>LHJM 	135807
Judges 13:7	681600	NZJR >LHJM 	singled out god(s)	PreC	>LHJM/	>LHJM 	135845
Judges 13:8	681612	>J# H>LHJM 	man the god(s)	Subj	>LHJM/	>LHJM 	135866
Judges 13:9	681628	H>LHJM 	the god(s)	Subj	>LHJM/	>LHJM 	135885
Judges 13:9	681632	ML>K H>LHJM 	messenger the god(s)	Subj	>LHJM/	>LHJM 	135893
Judges 13:22	681824	>LHJM 	god(s)	Objc	>LHJM/	>LHJM 	136165
Judges 15:19	682496	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	137146
Judges 16:17	682812	NZJR >LHJM 	singled out god(s)	PreC	>LHJM/	>LHJM 	137593
Judges 16:23	682919	LDGWN >LHJHM 	to Dagon god(s)	Cmpl	>LHJM/	>LHJHM 	137743
Judges 16:23	682925	>LHJNW 	god(s)	Subj	>LHJM/	>LHJNW 	137750
Judges 16:24	682934	>T&>LHJHM 	<object marker> god(s)	Objc	>LHJM/	>LHJHM 	137764
Judges 16:24	682938	>LHJNW 	god(s)	Subj	>LHJM/	>LHJNW 	137768
Judges 16:28	683013	H>LHJM 	the god(s)	Voct	>LHJM/	>LHJM 	137887
Judges 17:5	683147	BJT >LHJM 	house god(s)	Subj	>LHJM/	>LHJM 	138098
Judges 18:5	683342	B>LHJM 	in god(s)	Cmpl	>LHJM/	>LHJM 	138418
Judges 18:10	683434	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	138542
Judges 18:24	683609	>T&>LHJ 	<object marker> god(s)	Objc	>LHJM/	>LHJ 	138877
Judges 18:31	683738	BJT&H>LHJM 	house the god(s)	Subj	>LHJM/	>LHJM 	139069
Judges 20:2	684265	BQHL <M H>LHJM 	in assembly people the god(s)	Cmpl	>LHJM/	>LHJM 	139916
Judges 20:18	684445	B>LHJM 	in god(s)	Cmpl	>LHJM/	>LHJM 	140258
Judges 20:27	684562	>RWN BRJT H>LHJM 	ark covenant the god(s)	Subj	>LHJM/	>LHJM 	140479
Judges 21:2	684860	#M LPNJ H>LHJM 	there to face the god(s)	Cmpl	>LHJM/	>LHJM 	141015
Judges 21:3	684871	JHWH >LHJ J#R>L 	YHWH god(s) Israel	Voct	>LHJM/	>LHJ 	141027
1_Samuel 1:17	685396	>LHJ J#R>L 	god(s) Israel	Subj	>LHJM/	>LHJ 	141859
1_Samuel 2:2	685585	YWR K>LHJNW00 	rock as god(s)	Subj	>LHJM/	>LHJNW00 	142134
1_Samuel 2:25	685877	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	142577
1_Samuel 2:27	685904	>J#&>LHJM 	man god(s)	Subj	>LHJM/	>LHJM 	142617
1_Samuel 2:30	685948	N>M&JHWH >LHJ J#R>L 	speech YHWH god(s) Israel	Subj	>LHJM/	>LHJ 	142698
1_Samuel 3:3	686073	NR >LHJM 	lamp god(s)	Subj	>LHJM/	>LHJM 	142901
1_Samuel 3:3	686082	>RWN >LHJM00 	ark god(s)	Subj	>LHJM/	>LHJM00 	142913
1_Samuel 3:17	686297	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	143178
1_Samuel 4:4	686424	<M&>RWN BRJT H>LHJM 	with ark covenant the god(s)	Adju	>LHJM/	>LHJM 	143377
1_Samuel 4:7	686457	>LHJM 	god(s)	Subj	>LHJM/	>LHJM 	143438
1_Samuel 4:8	686472	MJD H>LHJM H>DJRJM H>LH 	from hand the god(s) the mighty the these	Cmpl	>LHJM/	>LHJM 	143460
1_Samuel 4:8	686475	H>LHJM 	the god(s)	PreC	>LHJM/	>LHJM 	143468
1_Samuel 4:11	686517	>RWN >LHJM 	ark god(s)	Subj	>LHJM/	>LHJM 	143526
1_Samuel 4:13	686549	<L >RWN H>LHJM 	upon ark the god(s)	Cmpl	>LHJM/	>LHJM 	143577
1_Samuel 4:17	686619	>RWN H>LHJM 	ark the god(s)	Subj	>LHJM/	>LHJM 	143689
1_Samuel 4:18	686624	>T&>RWN H>LHJM 	<object marker> ark the god(s)	Objc	>LHJM/	>LHJM 	143698
1_Samuel 4:19	686653	>RWN H>LHJM 	ark the god(s)	Subj	>LHJM/	>LHJM 	143744
1_Samuel 4:21	686693	>RWN H>LHJM 	ark the god(s)	Subj	>LHJM/	>LHJM 	143795
1_Samuel 4:22	686703	>RWN H>LHJM00 	ark the god(s)	Subj	>LHJM/	>LHJM00 	143811
1_Samuel 5:1	686707	>T >RWN H>LHJM 	<object marker> ark the god(s)	Objc	>LHJM/	>LHJM 	143818
1_Samuel 5:2	686715	>T&>RWN H>LHJM 	<object marker> ark the god(s)	Objc	>LHJM/	>LHJM 	143830
1_Samuel 5:7	686789	>RWN >LHJ J#R>L 	ark god(s) Israel	Subj	>LHJM/	>LHJ 	143952
1_Samuel 5:7	686794	<LJNW W<L DGWN >LHJNW00 	upon and upon Dagon god(s)	Cmpl	>LHJM/	>LHJNW00 	143962
1_Samuel 5:8	686805	L>RWN >LHJ J#R>L 	to ark god(s) Israel	Cmpl	>LHJM/	>LHJ 	143978
1_Samuel 5:8	686810	>RWN >LHJ J#R>L 	ark god(s) Israel	Subj	>LHJM/	>LHJ 	143985
1_Samuel 5:8	686813	>T&>RWN >LHJ J#R>L00 	<object marker> ark god(s) Israel	Objc	>LHJM/	>LHJ 	143991
1_Samuel 5:10	686833	>T&>RWN H>LHJM 	<object marker> ark the god(s)	Objc	>LHJM/	>LHJM 	144028
1_Samuel 5:10	686838	>RWN H>LHJM 	ark the god(s)	Subj	>LHJM/	>LHJM 	144036
1_Samuel 5:10	686846	>T&>RWN >LHJ J#R>L 	<object marker> ark god(s) Israel	Objc	>LHJM/	>LHJ 	144048
