clnode,chapter,verse,subj_n,subj,obj_n,obj,obj_n2,obj2,cmpl_n,cmpl,cmpl_n2,cmpl2
489443,9,18,_,_,789681,>LHJM,_,_,_,_,_,_
489444,9,19,789686,>BJWN,_,_,_,_,_,_,_,_
489445,9,19,789687,TQWT_<NWJM,_,_,_,_,_,_,_,_
489448,9,20,789694,>NWC,_,_,_,_,_,_,_,_
489449,9,20,789696,GWJM,_,_,_,_,_,_,_,_
489450,9,21,_,_,789700,MWRH,_,_,_,_,_,_
489452,9,21,789703,GWJM,_,_,_,_,_,_,_,_
489453,9,21,789705,HMH,_,_,_,_,_,_,_,_
489455,10,1,_,_,_,_,_,_,789710,B_RXWQ,_,_
489458,10,2,_,_,789715,<NJ,_,_,_,_,_,_
489461,10,3,789722,RC<,_,_,_,_,789723,<L_T>WT_NPCW,_,_
489462,10,3,_,_,789725,BY<,_,_,_,_,_,_
489463,10,3,_,_,789728,JHWH,_,_,_,_,_,_
489464,10,4,789729,RC<,_,_,_,_,_,_,_,_
489466,10,4,789735,KL_MZMWTJW,_,_,_,_,_,_,_,_
489467,10,5,789737,DRKW,_,_,_,_,_,_,_,_
489468,10,5,789740,MCPVJK,_,_,_,_,_,_,_,_
489470,10,5,_,_,_,_,_,_,789744,BHM,_,_
489471,10,6,_,_,_,_,_,_,789746,B_LBW,_,_
489474,10,7,789754,PJHW,789753,>LH,_,_,_,_,_,_
489475,10,7,_,_,789757,MRMWT_W_TK,_,_,_,_,_,_
489476,10,7,789759,<ML_W_>WN,_,_,_,_,_,_,_,_
489477,10,8,_,_,_,_,_,_,789761,B_M>RB_XYRJM,_,_
489478,10,8,_,_,789764,NQJ,_,_,_,_,_,_
489479,10,8,789765,<JNJW,_,_,_,_,789766,L_XLKH,_,_
489480,10,9,_,_,_,_,_,_,789769,B__MSTR,_,_
489482,10,9,_,_,789773,<NJ,_,_,_,_,_,_
489483,10,9,_,_,789775,<NJ,_,_,_,_,_,_
